,创建者,简述,收藏数,转发数,评论数,标签,图片地址
0,明石飛行社,〖日系〗骑行少年与元气摇滚,715,8,26,日语摇滚,http://p1.music.126.net/sRbsvGKoOel-7lMQl4Moig==/109951163399596872.jpg?param=140y140
1,Sk1un,华语唱作人|才华横溢文武双全,1203,0,19,华语流行经典,http://p1.music.126.net/T7P8hvtC2QNje88Ur5dfEw==/18614731860453500.jpg?param=140y140
2,鹿白川,Wow！这些歌简直好听到闪闪发光,1985,2,23,欧美流行放松,http://p1.music.126.net/U4xouGXwuN2_JHu61FC0SA==/18686200116245922.jpg?param=140y140
3,惊乙,吸仙气！这些歌的封面全是好看的小姐姐,355,5,19,韩语另类/独立清新,http://p1.music.126.net/56zW9gaQLNUAV-mnCsW_Bg==/18996262393699668.jpg?param=140y140
4,他名称为奇妙策士,「轻电」悦耳旋律｜入耳清凉,849,8,11,欧美电子放松,http://p1.music.126.net/v2tbIH7DsCS2c7F1GFA3TQ==/18962177533249066.jpg?param=140y140
5,等你先爱我,愿对方安好，愿你可以放下,616,8,10,华语流行治愈,http://p1.music.126.net/l891nAHJaQQNUXPYgDsjEg==/109951163410028044.jpg?param=140y140
6,DJSnake,DJ Snake Radio,1680,6,38,欧美电子说唱,http://p1.music.126.net/nMRjEaAJ6kf4t5n-E-NWPA==/109951163403259562.jpg?param=140y140
7,MarshmelloMusic,Mello Gaming,16249,6,397,电子欧美舞曲,http://p1.music.126.net/p-s-kDologUtyNYrloS1Xw==/109951163406760406.jpg?param=140y140
8,Tobeagorgeousfart,【漂浮设定】夏日西瓜味的糖与你,9391,3,62,华语放松流行,http://p1.music.126.net/zfIdexOWSbhin7Z3F07fSw==/109951163405066616.jpg?param=140y140
9,鹿白川,论如何优雅的做个不动声色的大人,99899,8,981,欧美安静治愈,http://p1.music.126.net/OTo1B2rt0B4qgqwM4JcKcA==/19106213556533227.jpg?param=140y140
10,辞雀,『古风』催泪剪辑常用BGM,65662,3,3471,华语流行古风,http://p1.music.126.net/9Eno8oEcNRy8vXzyEtudPA==/18998461416954452.jpg?param=140y140
11,云音乐VIP,那些年我们追过的翻唱神曲,2324,7,39,华语日语怀旧,http://p1.music.126.net/ExcxmH38i-Go7_4fj2ADHw==/109951163405481423.jpg?param=140y140
12,米契比,「古典」舞动人生 蹈出精彩,2368,6,18,古典舞曲,http://p1.music.126.net/2pTb3Ltqw07ey_AiRac_-g==/109951163400829914.jpg?param=140y140
13,朩朩青尘,这些歌名连起来，是我暗恋你多年的秘密,106626,1,1250,华语流行伤感,http://p1.music.126.net/P1IXTC2djtA89w7SDaTMyQ==/109951163391859286.jpg?param=140y140
14,云音乐VIP,新歌声的七年之痒 聆听冠军成长之路,1308,3,17,华语怀旧感动,http://p1.music.126.net/n4400jtTfgmbltG3IWscJQ==/109951163404863171.jpg?param=140y140
15,Bulletproof-Heart,Punk Remix 朋克与电音的行星对撞,470,8,5,欧美电子朋克,http://p1.music.126.net/VHn6XfbQybqkh7tBC3rBxw==/19177681812282226.jpg?param=140y140
16,七黛月,Liquid DnB告诉你什么才叫摄人心魂的BGM!!,9960,8,50,电子欧美另类/独立,http://p1.music.126.net/3YZ4LsD7_CA9z3hV8p3ASQ==/19060034068097366.jpg?param=140y140
17,花色游戏,『古风』我自问酒不问仙 半世逍遥半世癫,10393,9,298,华语古风孤独,http://p1.music.126.net/myeCBFphfOFBbhI39iEpDA==/109951163403711788.jpg?param=140y140
18,不要乱来啦,活的像风 没有归宿 却也够酷,7587,2,121,欧美流行工作,http://p1.music.126.net/AoQzfwE2EhNjqvtFHuPKyA==/19202970579730355.jpg?param=140y140
19,慢门先生,二字华语｜不经意的偶遇 无意间的心动,3105,6,58,华语流行粤语,http://p1.music.126.net/FxzcFdtIEcXJ8VoxDbh7Pw==/19047939440211754.jpg?param=140y140
20,莉犬,心碎日语| 好想触碰你，好想见到你,37774,2,282,日语ACG伤感,http://p1.music.126.net/-GU6rDGfut2k9PZUsNfz0Q==/109951163395653143.jpg?param=140y140
21,佯佯得意,听了几个故事，正好讲给你玩,45014,4,280,华语古风感动,http://p1.music.126.net/nyKX7yZGyVRADTbehV0h7A==/18603736744128350.jpg?param=140y140
22,云音乐歌单之友,《中国新说唱》入围选手作品合集,51329,7,1428,华语说唱,http://p1.music.126.net/EkTY14KMxcQGPVrt6FAHuA==/109951163380159129.jpg?param=140y140
23,大小姐不高兴,⚡️18年6月新热电音推送,18433,6,269,欧美流行电子,http://p1.music.126.net/Nvv0Bk8z3-2fVsxwhPEySw==/18501482162798944.jpg?param=140y140
24,卿公子的字,最新神曲合集，这个夏天就靠它们过了！,14916,3,28,流行世界音乐华语,http://p1.music.126.net/VVHU6FzAisT1JAtlPdwdCQ==/18738976674416019.jpg?param=140y140
